seed,num_clients,dirichlet_alpha,method,legal_accuracy,total_communication_gb
3,4,1.0,Full framework,0.7167131638165007,1.875
3,8,0.1,FedAvg,0.6031706902984907,17.578125
3,8,0.1,FedProx,0.6176944472523362,17.734375
3,8,0.1,FedLoRA,0.6296067384475096,3.125
3,8,0.1,Conflict-aware,0.6499490895790585,3.4375000000000004
3,8,0.1,Full framework,0.6595116030913334,3.75
3,8,0.3,FedAvg,0.6281600539858568,17.578125
3,8,0.3,FedProx,0.6366891070876581,17.734375
3,8,0.3,FedLoRA,0.6449223015921522,3.125
3,8,0.3,Conflict-aware,0.6759966624152435,3.4375000000000004
3,8,0.3,Full framework,0.6902562010328656,3.75
3,8,1.0,FedAvg,0.6483276594223395,17.578125
3,8,1.0,FedProx,0.655184480361541,17.734375
3,8,1.0,FedLoRA,0.672386892115943,3.125
3,8,1.0,Conflict-aware,0.6975696396341154,3.4375000000000004
3,8,1.0,Full framework,0.7180109900902862,3.75
3,16,0.1,FedAvg,0.5939636077849967,35.15625
3,16,0.1,FedProx,0.614330941586002,35.46875
3,16,0.1,FedLoRA,0.6302616315785822,6.25
3,16,0.1,Conflict-aware,0.6441808898518651,6.875000000000001
3,16,0.1,Full framework,0.6572797586375065,7.5
3,16,0.3,FedAvg,0.6188614242533567,35.15625
3,16,0.3,FedProx,0.6417403276749735,35.46875
3,16,0.3,FedLoRA,0.6612159899438869,6.25
3,16,0.3,Conflict-aware,0.6697118494261975,6.875000000000001
3,16,0.3,Full framework,0.6888374268305597,7.5
3,16,1.0,FedAvg,0.6348800885186312,35.15625
3,16,1.0,FedProx,0.6492008326162766,35.46875
3,16,1.0,FedLoRA,0.6745207393656096,6.25
3,16,1.0,Conflict-aware,0.6948638811243669,6.875000000000001
3,16,1.0,Full framework,0.7082683604219562,7.5
3,32,0.1,FedAvg,0.591600395498448,70.3125
3,32,0.1,FedProx,0.606849065976138,70.9375
3,32,0.1,FedLoRA,0.6214298907447383,12.5
3,32,0.1,Conflict-aware,0.6456317159021889,13.750000000000002
3,32,0.1,Full framework,0.6480071498186858,15.0
3,32,0.3,FedAvg,0.6186298555795908,70.3125
3,32,0.3,FedProx,0.6273760177901913,70.9375
3,32,0.3,FedLoRA,0.6483808914374939,12.5
3,32,0.3,Conflict-aware,0.6741440022842076,13.750000000000002
3,32,0.3,Full framework,0.6850483452205295,15.0
3,32,1.0,FedAvg,0.6302331499228288,70.3125
3,32,1.0,FedProx,0.6495776687653877,70.9375
3,32,1.0,FedLoRA,0.661260511962168,12.5
3,32,1.0,Conflict-aware,0.6809628918538192,13.750000000000002
3,32,1.0,Full framework,0.6992105848626645,15.0
4,4,0.1,FedAvg,0.6057119991331409,8.7890625
4,4,0.1,FedProx,0.6202253676498358,8.8671875
4,4,0.1,FedLoRA,0.6280443262924462,1.5625
4,4,0.1,Conflict-aware,0.6537097883082,1.7187500000000002
4,4,0.1,Full framework,0.6771988294495591,1.875
4,4,0.3,FedAvg,0.6373771784122568,8.7890625
4,4,0.3,FedProx,0.632217945546221,8.8671875
4,4,0.3,FedLoRA,0.6608301348989554,1.5625
4,4,0.3,Conflict-aware,0.6741086896756794,1.7187500000000002
4,4,0.3,Full framework,0.6926164723864804,1.875
4,4,1.0,FedAvg,0.6492874831733392,8.7890625
4,4,1.0,FedProx,0.6707787308895441,8.8671875
4,4,1.0,FedLoRA,0.6814482624138796,1.5625
4,4,1.0,Conflict-aware,0.7013141134779899,1.7187500000000002
4,4,1.0,Full framework,0.7009544540860068,1.875
4,8,0.1,FedAvg,0.590984185491961,17.578125
4,8,0.1,FedProx,0.6073141747829736,17.734375
4,8,0.1,FedLoRA,0.6293883359997168,3.125
4,8,0.1,Conflict-aware,0.6430908455322154,3.4375000000000004
4,8,0.1,Full framework,0.6581463303075881,3.75
4,8,0.3,FedAvg,0.6269123492495172,17.578125
4,8,0.3,FedProx,0.6348346602755754,17.734375
4,8,0.3,FedLoRA,0.6542573125152081,3.125
4,8,0.3,Conflict-aware,0.6757207174521741,3.4375000000000004
4,8,0.3,Full framework,0.6897423210321686,3.75
4,8,1.0,FedAvg,0.6547381998142998,17.578125
4,8,1.0,FedProx,0.6598634482559016,17.734375
4,8,1.0,FedLoRA,0.6703269747277646,3.125
4,8,1.0,Conflict-aware,0.6979196707999462,3.4375000000000004
4,8,1.0,Full framework,0.712634030027809,3.75
4,16,0.1,FedAvg,0.6029001731682786,35.15625
4,16,0.1,FedProx,0.6074063697991985,35.46875
4,16,0.1,FedLoRA,0.6191159789963286,6.25
4,16,0.1,Conflict-aware,0.6482699047814616,6.875000000000001
4,16,0.1,Full framework,0.6577576926558467,7.5
4,16,0.3,FedAvg,0.6179691190114436,35.15625
4,16,0.3,FedProx,0.636770562134575,35.46875
4,16,0.3,FedLoRA,0.6468414290214942,6.25
4,16,0.3,Conflict-aware,0.6626103280457337,6.875000000000001
4,16,0.3,Full framework,0.6776124835956714,7.5
4,16,1.0,FedAvg,0.6481159767497864,35.15625
4,16,1.0,FedProx,0.6526996268067354,35.46875
4,16,1.0,FedLoRA,0.6745187235792859,6.25
4,16,1.0,Conflict-aware,0.6909792113159785,6.875000000000001
4,16,1.0,Full framework,0.6997569458620465,7.5
4,32,0.1,FedAvg,0.5946827498737834,70.3125
4,32,0.1,FedProx,0.6050315602801856,70.9375
4,32,0.1,FedLoRA,0.61307346712508,12.5
4,32,0.1,Conflict-aware,0.6429889916948608,13.750000000000002
4,32,0.1,Full framework,0.6568764278120933,15.0
4,32,0.3,FedAvg,0.6110052500980955,70.3125
4,32,0.3,FedProx,0.6235540204588093,70.9375
4,32,0.3,FedLoRA,0.6453967075377388,12.5
4,32,0.3,Conflict-aware,0.6656431980942286,13.750000000000002
4,32,0.3,Full framework,0.6813290649794435,15.0
4,32,1.0,FedAvg,0.63882718712177,70.3125
4,32,1.0,FedProx,0.6426832048884776,70.9375
4,32,1.0,FedLoRA,0.6680486238752938,12.5
4,32,1.0,Conflict-aware,0.6877109506894158,13.750000000000002
4,32,1.0,Full framework,0.7020665427430465,15.0
5,4,0.1,FedAvg,0.6123134538637813,8.7890625
5,4,0.1,FedProx,0.6274807717234083,8.8671875
5,4,0.1,FedLoRA,0.6328756980027618,1.5625
5,4,0.1,Conflict-aware,0.6578792795629846,1.7187500000000002
5,4,0.1,Full framework,0.6659315997879709,1.875
5,4,0.3,FedAvg,0.6308825183434474,8.7890625
5,4,0.3,FedProx,0.6390452171345516,8.8671875
5,4,0.3,FedLoRA,0.664261409866832,1.5625
5,4,0.3,Conflict-aware,0.6809180657788075,1.7187500000000002
5,4,0.3,Full framework,0.6924001093154496,1.875
5,4,1.0,FedAvg,0.6540842084210425,8.7890625
5,4,1.0,FedProx,0.6514418055757291,8.8671875
5,4,1.0,FedLoRA,0.6739265767504525,1.5625
5,4,1.0,Conflict-aware,0.7010188305916114,1.7187500000000002
5,4,1.0,Full framework,0.7134321837079481,1.875
5,8,0.1,FedAvg,0.6001521033524938,17.578125
5,8,0.1,FedProx,0.6198967084954373,17.734375
5,8,0.1,FedLoRA,0.6248132392642608,3.125
5,8,0.1,Conflict-aware,0.6439597621040027,3.4375000000000004
5,8,0.1,Full framework,0.6653570406486247,3.75
5,8,0.3,FedAvg,0.6265925862027,17.578125
5,8,0.3,FedProx,0.6405845564065112,17.734375
5,8,0.3,FedLoRA,0.6567510232084459,3.125
5,8,0.3,Conflict-aware,0.6632391733799081,3.4375000000000004
5,8,0.3,Full framework,0.6856662183472573,3.75
5,8,1.0,FedAvg,0.6503601609566706,17.578125
5,8,1.0,FedProx,0.6650757666965824,17.734375
5,8,1.0,FedLoRA,0.6743256218423902,3.125
5,8,1.0,Conflict-aware,0.696176526224466,3.4375000000000004
5,8,1.0,Full framework,0.6994497363252228,3.75
5,16,0.1,FedAvg,0.5973961129236773,35.15625
5,16,0.1,FedProx,0.6103931889676174,35.46875
5,16,0.1,FedLoRA,0.6203555275192931,6.25
5,16,0.1,Conflict-aware,0.6437917689134577,6.875000000000001
5,16,0.1,Full framework,0.664845958612431,7.5
5,16,0.3,FedAvg,0.6272599119203177,35.15625
5,16,0.3,FedProx,0.6374985547416763,35.46875
5,16,0.3,FedLoRA,0.6491967196726839,6.25
5,16,0.3,Conflict-aware,0.658561017622752,6.875000000000001
5,16,0.3,Full framework,0.6846305118052375,7.5
5,16,1.0,FedAvg,0.6421165232561168,35.15625
5,16,1.0,FedProx,0.6463409196931603,35.46875
5,16,1.0,FedLoRA,0.6723290647225361,6.25
5,16,1.0,Conflict-aware,0.6923549982173521,6.875000000000001
5,16,1.0,Full framework,0.7017684543421512,7.5
5,32,0.1,FedAvg,0.5945093419012002,70.3125
5,32,0.1,FedProx,0.6049894319409638,70.9375
5,32,0.1,FedLoRA,0.6195168839363594,12.5
5,32,0.1,Conflict-aware,0.6409066742591294,13.750000000000002
5,32,0.1,Full framework,0.6537633981539378,15.0
5,32,0.3,FedAvg,0.6141768410200165,70.3125
5,32,0.3,FedProx,0.6394339048947383,70.9375
5,32,0.3,FedLoRA,0.6380567635203105,12.5
5,32,0.3,Conflict-aware,0.6663553422192555,13.750000000000002
5,32,0.3,Full framework,0.6742483067766675,15.0
5,32,1.0,FedAvg,0.6347337613212213,70.3125
5,32,1.0,FedProx,0.6522525223475061,70.9375
5,32,1.0,FedLoRA,0.670462694826709,12.5
5,32,1.0,Conflict-aware,0.685734254228436,13.750000000000002
5,32,1.0,Full framework,0.703203673820135,15.0
