seed,round,method,component,score
1,29,FedAvg,verdict,0.36336387116359115
1,29,FedAvg,rule alignment,0.43273169088481583
1,29,FedAvg,total,0.4157683241473583
1,30,FedAvg,citation,0.4843161271563201
1,30,FedAvg,reasoning,0.4052058327080755
1,30,FedAvg,verdict,0.3550434866757727
1,30,FedAvg,rule alignment,0.42325647196590016
1,30,FedAvg,total,0.4160529476636258
1,31,FedAvg,citation,0.4606136291130801
1,31,FedAvg,reasoning,0.40776695928504064
1,31,FedAvg,verdict,0.3598500148094207
1,31,FedAvg,rule alignment,0.41132548853093936
1,31,FedAvg,total,0.4097110964723253
1,32,FedAvg,citation,0.4671560659565456
1,32,FedAvg,reasoning,0.40245351130375795
1,32,FedAvg,verdict,0.3529536987428976
1,32,FedAvg,rule alignment,0.40678740595520113
1,32,FedAvg,total,0.40712097575702844
1,33,FedAvg,citation,0.45511944358363016
1,33,FedAvg,reasoning,0.3944419617975553
1,33,FedAvg,verdict,0.3489640029787054
1,33,FedAvg,rule alignment,0.4040668003411435
1,33,FedAvg,total,0.40016681024807915
1,34,FedAvg,citation,0.4486877885613989
1,34,FedAvg,reasoning,0.37644499342717697
1,34,FedAvg,verdict,0.3456541208122314
1,34,FedAvg,rule alignment,0.4056949634745668
1,34,FedAvg,total,0.392657968066474
1,35,FedAvg,citation,0.45582405299382067
1,35,FedAvg,reasoning,0.38486419349193407
1,35,FedAvg,verdict,0.3248139893528947
1,35,FedAvg,rule alignment,0.3955778767663365
1,35,FedAvg,total,0.3897343439875264
1,36,FedAvg,citation,0.4419235641995847
1,36,FedAvg,reasoning,0.3844502909458554
1,36,FedAvg,verdict,0.33750924141853916
1,36,FedAvg,rule alignment,0.40247896788390725
1,36,FedAvg,total,0.39068908226506904
1,37,FedAvg,citation,0.44436162392771883
1,37,FedAvg,reasoning,0.37308385664558835
1,37,FedAvg,verdict,0.33145302019400186
1,37,FedAvg,rule alignment,0.3986892098701548
1,37,FedAvg,total,0.38561665999813766
1,38,FedAvg,citation,0.435841278687886
1,38,FedAvg,reasoning,0.3722208741935644
1,38,FedAvg,verdict,0.3176953705687008
1,38,FedAvg,rule alignment,0.38777944100185596
1,38,FedAvg,total,0.37760631277258716
1,39,FedAvg,citation,0.43743419185134974
1,39,FedAvg,reasoning,0.3732573232273119
1,39,FedAvg,verdict,0.3205867707436402
1,39,FedAvg,rule alignment,0.3789818424441447
1,39,FedAvg,total,0.37727880610576997
1,40,FedAvg,citation,0.41801704582108073
1,40,FedAvg,reasoning,0.37186693615446675
1,40,FedAvg,verdict,0.32922129472199496
1,40,FedAvg,rule alignment,0.3810845900455997
1,40,FedAvg,total,0.3745865839912289
1,41,FedAvg,citation,0.4079595960588808
1,41,FedAvg,reasoning,0.36271887747369413
1,41,FedAvg,verdict,0.32245760449572286
1,41,FedAvg,rule alignment,0.372625699909489
1,41,FedAvg,total,0.36594510336265695
1,42,FedAvg,citation,0.4125682173169984
1,42,FedAvg,reasoning,0.3607588593370245
1,42,FedAvg,verdict,0.3169394980607375
1,42,FedAvg,rule alignment,0.37826176796665895
1,42,FedAvg,total,0.3662569402388731
1,43,FedAvg,citation,0.4051045720693504
1,43,FedAvg,reasoning,0.35402956687451004
1,43,FedAvg,verdict,0.30612199108488575
1,43,FedAvg,rule alignment,0.3717021543899736
1,43,FedAvg,total,0.3583559417289068
1,44,FedAvg,citation,0.39448683976558435
1,44,FedAvg,reasoning,0.34724518281663747
1,44,FedAvg,verdict,0.312241515524936
1,44,FedAvg,rule alignment,0.357230940168625
1,44,FedAvg,total,0.3523018317013463
1,45,FedAvg,citation,0.40730312164401306
1,45,FedAvg,reasoning,0.3585736946288957
1,45,FedAvg,verdict,0.3122709888491072
1,45,FedAvg,rule alignment,0.3638925908979136
1,45,FedAvg,total,0.36024415419153144
1,46,FedAvg,citation,0.3940493651179948
1,46,FedAvg,reasoning,0.34056049731358684
1,46,FedAvg,verdict,0.3114331667947634
1,46,FedAvg,rule alignment,0.3692601719187462
1,46,FedAvg,total,0.35239081655601484
1,47,FedAvg,citation,0.38726546368531334
1,47,FedAvg,reasoning,0.3305832815994736
1,47,FedAvg,verdict,0.29873106550539313
1,47,FedAvg,rule alignment,0.35177066765380266
1,47,FedAvg,total,0.3410282503082792
1,48,FedAvg,citation,0.39281965968201826
1,48,FedAvg,reasoning,0.327084902457395
1,48,FedAvg,verdict,0.293565522620069
1,48,FedAvg,rule alignment,0.3398491783219255
1,48,FedAvg,total,0.33769160197712544
1,49,FedAvg,citation,0.3894155526374301
1,49,FedAvg,reasoning,0.327141896798163
1,49,FedAvg,verdict,0.29493739735572616
1,49,FedAvg,rule alignment,0.3509780661584316
1,49,FedAvg,total,0.3394264197694243
1,50,FedAvg,citation,0.38636200885351396
1,50,FedAvg,reasoning,0.3252926855875021
1,50,FedAvg,verdict,0.29857544891377585
1,50,FedAvg,rule alignment,0.341848781749766
1,50,FedAvg,total,0.3371919264680263
1,51,FedAvg,citation,0.3802409905165488
1,51,FedAvg,reasoning,0.333430888953208
1,51,FedAvg,verdict,0.27279677897715177
1,51,FedAvg,rule alignment,0.34770900677951916
1,51,FedAvg,total,0.3328305104152913
1,52,FedAvg,citation,0.377902870346531
1,52,FedAvg,reasoning,0.32128806825441486
1,52,FedAvg,verdict,0.2905033653200323
1,52,FedAvg,rule alignment,0.33410707884383933
1,52,FedAvg,total,0.3303093951617332
1,53,FedAvg,citation,0.3682758514954575
1,53,FedAvg,reasoning,0.3088583765787736
1,53,FedAvg,verdict,0.2755424109684824
1,53,FedAvg,rule alignment,0.33952258107435596
1,53,FedAvg,total,0.3215165948044883
1,54,FedAvg,citation,0.3690164700935702
1,54,FedAvg,reasoning,0.32484610560654
1,54,FedAvg,verdict,0.2791530328384188
1,54,FedAvg,rule alignment,0.32351430456449326
1,54,FedAvg,total,0.32419906832785794
1,55,FedAvg,citation,0.36092927964866284
1,55,FedAvg,reasoning,0.323480004355068
1,55,FedAvg,verdict,0.2607974482012143
1,55,FedAvg,rule alignment,0.327228911508708
1,55,FedAvg,total,0.31792146557073125
1,56,FedAvg,citation,0.3493283801657239
1,56,FedAvg,reasoning,0.31712390310104593
1,56,FedAvg,verdict,0.2748678877661748
1,56,FedAvg,rule alignment,0.30871904967575386
1,56,FedAvg,total,0.3129300478484392
1,57,FedAvg,citation,0.34483298198001616
1,57,FedAvg,reasoning,0.3048467261890685
1,57,FedAvg,verdict,0.27616204415190765
1,57,FedAvg,rule alignment,0.3170184249429235
1,57,FedAvg,total,0.3101064593782862
1,58,FedAvg,citation,0.3591621929928843
1,58,FedAvg,reasoning,0.3060518751210447
1,58,FedAvg,verdict,0.2706187184133695
1,58,FedAvg,rule alignment,0.3054651897201972
1,58,FedAvg,total,0.31035382833191627
1,59,FedAvg,citation,0.35478072933366905
1,59,FedAvg,reasoning,0.30828893989723505
1,59,FedAvg,verdict,0.26621802927044624
1,59,FedAvg,rule alignment,0.30781420235247214
1,59,FedAvg,total,0.3092992120906938
1,60,FedAvg,citation,0.33717551788994377
1,60,FedAvg,reasoning,0.30086194251230153
1,60,FedAvg,verdict,0.2535707475334023
1,60,FedAvg,rule alignment,0.30265786870506206
1,60,FedAvg,total,0.2984767228505394
1,61,FedAvg,citation,0.33803340866065834
1,61,FedAvg,reasoning,0.28772243773971423
1,61,FedAvg,verdict,0.2554584856435928
1,61,FedAvg,rule alignment,0.3060529488693389
1,61,FedAvg,total,0.29590029467184487
1,62,FedAvg,citation,0.33556032052468443
1,62,FedAvg,reasoning,0.2785140073052248
1,62,FedAvg,verdict,0.2745244927137627
1,62,FedAvg,rule alignment,0.29778714528394284
1,62,FedAvg,total,0.2956328345579678
1,63,FedAvg,citation,0.3205739816727135
1,63,FedAvg,reasoning,0.29921060371943986
1,63,FedAvg,verdict,0.2564805875540164
1,63,FedAvg,rule alignment,0.30274675779015625
1,63,FedAvg,total,0.29457617498054567
1,64,FedAvg,citation,0.3324211200675688
1,64,FedAvg,reasoning,0.2804207394280093
1,64,FedAvg,verdict,0.2480202556394109
1,64,FedAvg,rule alignment,0.29000894789106146
1,64,FedAvg,total,0.28723835533336
1,65,FedAvg,citation,0.3200865944153061
1,65,FedAvg,reasoning,0.28271880972819236
1,65,FedAvg,verdict,0.24867699523587525
1,65,FedAvg,rule alignment,0.3085120979511539
1,65,FedAvg,total,0.2887089599214838
1,66,FedAvg,citation,0.32662410544125514
1,66,FedAvg,reasoning,0.27383922048851
1,66,FedAvg,verdict,0.2431322865659982
1,66,FedAvg,rule alignment,0.2870546218501662
1,66,FedAvg,total,0.2820017885183996
1,67,FedAvg,citation,0.31312967817552173
1,67,FedAvg,reasoning,0.26647692408040263
1,67,FedAvg,verdict,0.2353347615853222
1,67,FedAvg,rule alignment,0.2787916395905125
1,67,FedAvg,total,0.2728175150824343
1,68,FedAvg,citation,0.3052648071349506
1,68,FedAvg,reasoning,0.2745668649020261
1,68,FedAvg,verdict,0.24041085881540744
1,68,FedAvg,rule alignment,0.2975231450455932
1,68,FedAvg,total,0.278293604967316
1,69,FedAvg,citation,0.3028795094674993
1,69,FedAvg,reasoning,0.2677937382952789
1,69,FedAvg,verdict,0.23192000178337677
1,69,FedAvg,rule alignment,0.2807802196127157
1,69,FedAvg,total,0.2701940432238459
1,70,FedAvg,citation,0.29648847952715895
1,70,FedAvg,reasoning,0.26794394455577897
1,70,FedAvg,verdict,0.23072218331356312
1,70,FedAvg,rule alignment,0.28545864289228656
1,70,FedAvg,total,0.2692775776553715
1,71,FedAvg,citation,0.3006862237471439
1,71,FedAvg,reasoning,0.2653203759468451
1,71,FedAvg,verdict,0.237451096962439
1,71,FedAvg,rule alignment,0.279078790287303
1,71,FedAvg,total,0.2699462010189098
1,72,FedAvg,citation,0.3100129760662898
1,72,FedAvg,reasoning,0.263375653288017
1,72,FedAvg,verdict,0.2385992728231875
1,72,FedAvg,rule alignment,0.27339262856342755
1,72,FedAvg,total,0.2708442839214599
1,73,FedAvg,citation,0.29000446705575617
1,73,FedAvg,reasoning,0.2548158480725347
1,73,FedAvg,verdict,0.2328766891391584
1,73,FedAvg,rule alignment,0.2721170315234066
1,73,FedAvg,total,0.2615884497751704
1,74,FedAvg,citation,0.29361324399979644
1,74,FedAvg,reasoning,0.26490611096856503
1,74,FedAvg,verdict,0.23301772702803136
1,74,FedAvg,rule alignment,0.26154980912781395
1,74,FedAvg,total,0.26343953787308927
1,75,FedAvg,citation,0.28968892146620967
1,75,FedAvg,reasoning,0.2720071272361509
1,75,FedAvg,verdict,0.23490398546898156
1,75,FedAvg,rule alignment,0.274671378133967
1,75,FedAvg,total,0.2676846405314365
1,76,FedAvg,citation,0.29015717316035355
1,76,FedAvg,reasoning,0.25290346233901395
1,76,FedAvg,verdict,0.22022637658405794
1,76,FedAvg,rule alignment,0.25885613798981444
1,76,FedAvg,total,0.25523815373576997
1,77,FedAvg,citation,0.2807886911817708
1,77,FedAvg,reasoning,0.2629643160039732
1,77,FedAvg,verdict,0.2301695925287987
1,77,FedAvg,rule alignment,0.26909611002016304
1,77,FedAvg,total,0.26044808773286693
1,78,FedAvg,citation,0.2869184774643757
1,78,FedAvg,reasoning,0.248872568256527
1,78,FedAvg,verdict,0.21631746390447995
1,78,FedAvg,rule alignment,0.26138793051197484
1,78,FedAvg,total,0.252748341921567
1,79,FedAvg,citation,0.2833811288034317
1,79,FedAvg,reasoning,0.2441303167409547
1,79,FedAvg,verdict,0.2214199062623678
1,79,FedAvg,rule alignment,0.2620460327788989
1,79,FedAvg,total,0.2518485603445161
1,80,FedAvg,citation,0.27157902993212424
1,80,FedAvg,reasoning,0.23544695139016186
1,80,FedAvg,verdict,0.22632374844186218
1,80,FedAvg,rule alignment,0.2612472718345328
1,80,FedAvg,total,0.24735923437745172
1,81,FedAvg,citation,0.27923803449561463
1,81,FedAvg,reasoning,0.2405795447834533
1,81,FedAvg,verdict,0.21607548148791353
1,81,FedAvg,rule alignment,0.24901925521541213
1,81,FedAvg,total,0.24580609347400045
1,82,FedAvg,citation,0.27813133718460703
1,82,FedAvg,reasoning,0.24760601357665343
1,82,FedAvg,verdict,0.221483144608149
1,82,FedAvg,rule alignment,0.24495972880512165
1,82,FedAvg,total,0.24817737028220938
1,83,FedAvg,citation,0.27339566512784325
1,83,FedAvg,reasoning,0.243990216699622
1,83,FedAvg,verdict,0.20845126594537897
1,83,FedAvg,rule alignment,0.23952369254489903
1,83,FedAvg,total,0.24156353628717198
1,84,FedAvg,citation,0.27690794720980677
1,84,FedAvg,reasoning,0.23728716196460758
1,84,FedAvg,verdict,0.21920683205854502
1,84,FedAvg,rule alignment,0.2527767801037503
1,84,FedAvg,total,0.24577019942722028
1,85,FedAvg,citation,0.2764284998608401
1,85,FedAvg,reasoning,0.2335111247978043
1,85,FedAvg,verdict,0.20937306727720026
1,85,FedAvg,rule alignment,0.24558719899670287
1,85,FedAvg,total,0.24062116902319197
1,86,FedAvg,citation,0.2651784202675265
1,86,FedAvg,reasoning,0.23464380119659564
1,86,FedAvg,verdict,0.2061900700394186
1,86,FedAvg,rule alignment,0.21966238041151212
1,86,FedAvg,total,0.2321677390180174
1,87,FedAvg,citation,0.26678762033010617
1,87,FedAvg,reasoning,0.2278886903859901
1,87,FedAvg,verdict,0.20633677911352538
1,87,FedAvg,rule alignment,0.23372531305035688
1,87,FedAvg,total,0.2333927695867763
1,88,FedAvg,citation,0.25236928035898254
1,88,FedAvg,reasoning,0.24225864968126623
1,88,FedAvg,verdict,0.20240827580834053
1,88,FedAvg,rule alignment,0.2535015706900195
1,88,FedAvg,total,0.23707229808421454
1,89,FedAvg,citation,0.254736749403523
1,89,FedAvg,reasoning,0.23352030938863896
1,89,FedAvg,verdict,0.20468218751464218
1,89,FedAvg,rule alignment,0.22665199416005224
1,89,FedAvg,total,0.2302412258781434
1,90,FedAvg,citation,0.2504578683611789
1,90,FedAvg,reasoning,0.223572299757098
1,90,FedAvg,verdict,0.20280441350777667
1,90,FedAvg,rule alignment,0.24716031067094216
1,90,FedAvg,total,0.22981932252855672
1,91,FedAvg,citation,0.24354298494355486
1,91,FedAvg,reasoning,0.2246989639915428
1,91,FedAvg,verdict,0.1967589214264318
1,91,FedAvg,rule alignment,0.2343077849859037
1,91,FedAvg,total,0.22434672278714024
1,92,FedAvg,citation,0.2529479209273073
1,92,FedAvg,reasoning,0.2136034981154603
1,92,FedAvg,verdict,0.19363774168678155
1,92,FedAvg,rule alignment,0.22695603261408112
1,92,FedAvg,total,0.2211186716109765
1,93,FedAvg,citation,0.2461726538509103
1,93,FedAvg,reasoning,0.2200108114027107
1,93,FedAvg,verdict,0.19253634495414346
1,93,FedAvg,rule alignment,0.22585291656622922
1,93,FedAvg,total,0.22085107643532254
1,94,FedAvg,citation,0.24237148495892583
1,94,FedAvg,reasoning,0.20882125987833028
1,94,FedAvg,verdict,0.20464840755583863
1,94,FedAvg,rule alignment,0.22022216949279058
1,94,FedAvg,total,0.2184457849907483
1,95,FedAvg,citation,0.24274595570201607
1,95,FedAvg,reasoning,0.2120961232231034
1,95,FedAvg,verdict,0.1863073348662982
1,95,FedAvg,rule alignment,0.2252124965533624
1,95,FedAvg,total,0.21593465891968205
1,96,FedAvg,citation,0.24495737633364342
1,96,FedAvg,reasoning,0.20923043968097332
1,96,FedAvg,verdict,0.20248153864506016
1,96,FedAvg,rule alignment,0.21800539005532846
1,96,FedAvg,total,0.21822993866003357
1,97,FedAvg,citation,0.23864742989694757
1,97,FedAvg,reasoning,0.21632092112627926
1,97,FedAvg,verdict,0.19064309378389177
1,97,FedAvg,rule alignment,0.22541409574872312
1,97,FedAvg,total,0.21730172640783824
1,98,FedAvg,citation,0.241988945819899
1,98,FedAvg,reasoning,0.20512640973051288
1,98,FedAvg,verdict,0.18155318985721453
1,98,FedAvg,rule alignment,0.21817918753992335
1,98,FedAvg,total,0.2110592943464169
1,99,FedAvg,citation,0.2436965924400445
1,99,FedAvg,reasoning,0.21544347545295633
1,99,FedAvg,verdict,0.1861229571109545
1,99,FedAvg,rule alignment,0.2161993771675793
1,99,FedAvg,total,0.21532780545715252
1,100,FedAvg,citation,0.21909809248148654
1,100,FedAvg,reasoning,0.20141479464062517
1,100,FedAvg,verdict,0.18029840975267988
1,100,FedAvg,rule alignment,0.21314073420846202
1,100,FedAvg,total,0.20290171079242156
1,1,FedLoRA,citation,0.583042965677065
1,1,FedLoRA,reasoning,0.49864712844740383
1,1,FedLoRA,verdict,0.4284278137108593
1,1,FedLoRA,rule alignment,0.5238805442831478
1,1,FedLoRA,total,0.5072379422378318
1,2,FedLoRA,citation,0.5732646217879898
1,2,FedLoRA,reasoning,0.4838256710999171
1,2,FedLoRA,verdict,0.4169077981535701
1,2,FedLoRA,rule alignment,0.5184584974163493
1,2,FedLoRA,total,0.49638250579863497
1,3,FedLoRA,citation,0.5654002904665058
1,3,FedLoRA,reasoning,0.4810339920088301
1,3,FedLoRA,verdict,0.413198077107275
1,3,FedLoRA,rule alignment,0.5104419277669672
1,3,FedLoRA,total,0.49104817504948767
1,4,FedLoRA,citation,0.5627515697798426
1,4,FedLoRA,reasoning,0.46907881855366196
1,4,FedLoRA,verdict,0.4066648055115323
1,4,FedLoRA,rule alignment,0.4967745398197121
1,4,FedLoRA,total,0.4824326473528847
1,5,FedLoRA,citation,0.5524851822944931
1,5,FedLoRA,reasoning,0.4648672020948234
1,5,FedLoRA,verdict,0.40307596123241873
1,5,FedLoRA,rule alignment,0.4882362425957921
1,5,FedLoRA,total,0.4759976950293334
1,6,FedLoRA,citation,0.5435355310840961
1,6,FedLoRA,reasoning,0.46146693199089245
1,6,FedLoRA,verdict,0.3960977351445945
1,6,FedLoRA,rule alignment,0.49578069688526577
1,6,FedLoRA,total,0.4725045355314935
1,7,FedLoRA,citation,0.5300120362662496
1,7,FedLoRA,reasoning,0.4538290354659959
1,7,FedLoRA,verdict,0.4014482480765997
1,7,FedLoRA,rule alignment,0.4735771786276348
1,7,FedLoRA,total,0.46372921745103807
1,8,FedLoRA,citation,0.5448475117501298
1,8,FedLoRA,reasoning,0.4558407847780865
1,8,FedLoRA,verdict,0.4014857046125541
1,8,FedLoRA,rule alignment,0.4655279435794488
1,8,FedLoRA,total,0.4664411282399867
1,9,FedLoRA,citation,0.5249411338336771
1,9,FedLoRA,reasoning,0.46178208772542795
1,9,FedLoRA,verdict,0.38756517132069573
1,9,FedLoRA,rule alignment,0.4662314368368891
1,9,FedLoRA,total,0.4599074899735994
1,10,FedLoRA,citation,0.5230150605366626
1,10,FedLoRA,reasoning,0.4384601186443636
1,10,FedLoRA,verdict,0.40063433928232534
1,10,FedLoRA,rule alignment,0.4598338139717345
1,10,FedLoRA,total,0.45441714834240293
1,11,FedLoRA,citation,0.5145631531048255
1,11,FedLoRA,reasoning,0.43623739881367646
1,11,FedLoRA,verdict,0.37938678857551345
1,11,FedLoRA,rule alignment,0.46063432039960384
1,11,FedLoRA,total,0.4464855691441084
1,12,FedLoRA,citation,0.5103938528780891
1,12,FedLoRA,reasoning,0.44153762461111284
1,12,FedLoRA,verdict,0.3824196549845745
1,12,FedLoRA,rule alignment,0.46188850926433606
1,12,FedLoRA,total,0.44804236620186694
1,13,FedLoRA,citation,0.4901620731417963
1,13,FedLoRA,reasoning,0.42035341625177597
1,13,FedLoRA,verdict,0.3732231780018772
1,13,FedLoRA,rule alignment,0.4547208257247822
1,13,FedLoRA,total,0.4328965028064076
1,14,FedLoRA,citation,0.4966591059764733
1,14,FedLoRA,reasoning,0.4177118021339439
1,14,FedLoRA,verdict,0.3735299671127955
1,14,FedLoRA,rule alignment,0.4538336687251175
1,14,FedLoRA,total,0.4336275426575239
1,15,FedLoRA,citation,0.48385261304034594
1,15,FedLoRA,reasoning,0.4122428781759835
1,15,FedLoRA,verdict,0.3576350194902183
1,15,FedLoRA,rule alignment,0.4469431044260218
1,15,FedLoRA,total,0.4234333924706405
1,16,FedLoRA,citation,0.4969862483546712
1,16,FedLoRA,reasoning,0.4224010763111719
1,16,FedLoRA,verdict,0.35040532849027384
1,16,FedLoRA,rule alignment,0.43969290716535026
1,16,FedLoRA,total,0.4265067985376579
1,17,FedLoRA,citation,0.48077023308439965
1,17,FedLoRA,reasoning,0.42327069195391204
1,17,FedLoRA,verdict,0.3612343253640855
1,17,FedLoRA,rule alignment,0.4439902923344483
1,17,FedLoRA,total,0.42628040566518455
1,18,FedLoRA,citation,0.4689450855004045
1,18,FedLoRA,reasoning,0.41180570313848247
1,18,FedLoRA,verdict,0.3635201270586828
1,18,FedLoRA,rule alignment,0.41622443896663713
1,18,FedLoRA,total,0.414902901874644
1,19,FedLoRA,citation,0.4691468472871248
1,19,FedLoRA,reasoning,0.39814627867956465
1,19,FedLoRA,verdict,0.3462683210489676
1,19,FedLoRA,rule alignment,0.4104567011778498
1,19,FedLoRA,total,0.40538901592346244
1,20,FedLoRA,citation,0.4672330068744585
1,20,FedLoRA,reasoning,0.3949597427566043
1,20,FedLoRA,verdict,0.3497099393409011
1,20,FedLoRA,rule alignment,0.40464479728338276
1,20,FedLoRA,total,0.40365261883749776
1,21,FedLoRA,citation,0.4515221338029345
1,21,FedLoRA,reasoning,0.3914800567829236
1,21,FedLoRA,verdict,0.3439706984397385
1,21,FedLoRA,rule alignment,0.3992312047156761
